2^110-1,4060,3,
2^111-1,16074,7,
2^112-1,6491,3,
2^113-1,194824,23279,
2^114-1,16183,3,
2^115-1,9036,31,
2^116-1,2428,5,
2^117-1,4052,7,
2^118-1,5985,3,
2^119-1,7550,239,
2^120-1,2525,13,
2^121-1,11094,23,
2^122-1,4299,3,
2^123-1,4333,7,
2^124-1,4294,3,
2^125-1,10054,31,
2^126-1,4883,5547,
2^128-1,7723,3,
2^129-1,16745,7,
2^130-1,5626,3,
2^131-1,129157,263,
2^132-1,13244,13,
2^133-1,47409,127,
2^134-1,15456,3,
2^135-1,11233,7,
2^136-1,7231,3,
2^138-1,5307,21,
2^140-1,3084,1025,
2^141-1,15591,7,
2^142-1,5515,3,
2^143-1,19228,23,
2^144-1,2646,37,
2^145-1,11779,31,
2^146-1,4974,3,
2^147-1,5066,7,
2^148-1,4917,3,
2^150-1,5858,7,
2^151-1,546621,18121,
2^152-1,13268,5,
2^153-1,5252,7,
2^154-1,7663,3,
2^155-1,12501,31,
2^156-1,2965,5,
2^157-1,20351586,852133201,
2^158-1,19454,3,
2^159-1,5867,7,
2^160-1,3612,205,
2^161-1,43447,47,
2^162-1,16397,7,
2^163-1,345783,150287,
2^164-1,13573,5,
2^165-1,8677,7,
2^166-1,6036,3,
2^167-1,9806376,2349023,
2^168-1,14272,5,
2^169-1,394964,8191,
2^170-1,8819,3,
2^171-1,6299,7,
2^172-1,3491,5,
2^173-1,1967336,730753,
2^174-1,16446,3,
2^175-1,14075,31,
2^176-1,8535,3,
2^177-1,6309,7,
2^178-1,6197,3,
2^179-1,41436,359,
2^180-1,16471,13,
2^181-1,249832,43441,
2^182-1,16494,3,
2^183-1,14178,7,
2^184-1,3448,5,
2^185-1,14961,31,
2^186-1,6518,7,
2^187-1,12205,23,
2^188-1,6837,3,
2^189-1,6820,7,
2^190-1,6882,3,
2^191-1,161187,383,
2^192-1,46499,5,
2^193-1,4173366,13821503,
2^194-1,17677,3,
2^195-1,7084,31,
2^196-1,7027,3,
2^197-1,352752,7487,
2^198-1,17549,7,
2^200-1,8046,3,
2^201-1,7880,7,
2^202-1,10516,3,
2^203-1,32148,127,
2^204-1,10181,21,
2^205-1,16676,31,
2^206-1,6993,3,
2^207-1,7159,7,
2^208-1,10294,3,
2^209-1,19475,23,
2^210-1,10301,21,
2^211-1,1339236,15193,
2^212-1,17820,3,
2^213-1,10572,7,
2^214-1,10499,3,
2^215-1,23626,31,
2^216-1,21096,3,
2^217-1,13708,127,
2^218-1,7599,3,
2^219-1,18243,7,
2^220-1,4194,25,
2^221-1,148576,1327,
2^222-1,11451,21,
2^223-1,701578,18287,
2^224-1,8210,3,
2^225-1,9147,7,
2^226-1,8463,3,
2^228-1,8883,273,
2^229-1,6276387,20492753,
2^230-1,19043,93,
2^231-1,8309,7,
2^232-1,8001,3,
2^233-1,370870,1399,
2^234-1,18581,7,
2^235-1,42332,31,
2^236-1,18275,3,
2^237-1,18892,7,
2^238-1,7985,3,
2^239-1,80960,479,
2^240-1,14653,5,
2^241-1,53393631,22000409,
2^242-1,19062,3,
2^243-1,8216,7,
2^244-1,8405,3,
2^245-1,36771,31,
2^246-1,18345,49,
2^247-1,206633,8191,
2^248-1,14550,25,
2^249-1,8818,7,
2^250-1,12630,3,
2^251-1,162692,503,
2^252-1,14969,37,
2^253-1,28432,89,
2^254-1,17927,3,
2^255-1,20875,7,
2^256-1,18217,3,
2^258-1,9942,21,
2^259-1,85133,127,
2^260-1,13688,3,
2^261-1,9389,7,
2^262-1,8939,3,
2^263-1,2004144,23671,
2^264-1,19426,21,
2^265-1,21389,31,
2^266-1,9177,3,
2^267-1,9016,49,
2^268-1,13335,3,
2^269-1,29350301,13822297,
2^270-1,19834,399,
2^272-1,9390,3,
2^273-1,31997,7,
2^274-1,9321,3,
2^275-1,18036,23,
2^276-1,5013,5,
2^277-1,5119203,1121297,
2^278-1,20211,3,
2^279-1,9535,3577,
2^280-1,9744,129,
2^281-1,4211553,80929,
2^282-1,20197,21,
2^283-1,546870,9623,
2^284-1,15574,5,
2^285-1,10003,49,
2^286-1,10055,3,
2^287-1,88579,127,
2^288-1,15606,13,
2^289-1,1733494,131071,
2^290-1,20528,93,
2^291-1,10181,7,
2^292-1,9995,3,
2^294-1,10801,21,
2^295-1,43943,31,
2^296-1,5523,5,
2^297-1,10118,7,
2^298-1,10228,3,
2^299-1,64755,47,
2^300-1,15982,25,
2^301-1,56227,431,
2^302-1,25036,3,
2^303-1,23849,7,
2^304-1,19064,3,
2^305-1,52675,31,
2^306-1,20647,21,
2^307-1,28425479,14608903,
2^308-1,34321,5,
2^309-1,24498,7,
2^310-1,19968,93,
2^311-1,18005730,5344847,
2^312-1,21007,13,
2^313-1,64391126,10960009,
2^314-1,27437,3,
2^315-1,10996,7,
2^316-1,5772,5,
2^317-1,1026955,9511,
2^318-1,21406,3,
2^319-1,59534,23,
2^320-1,26554,93,
2^321-1,12874,7,
2^322-1,16939,3,
2^323-1,602487,647,
2^324-1,16415,5,
2^325-1,45460,31,
2^326-1,21672,3,
2^327-1,26404,7,
2^328-1,26121,3,
2^329-1,60038,127,
2^330-1,21641,21,
2^332-1,6622,5,
2^333-1,22435,7,
2^334-1,11418,3,
2^335-1,37271,31,
2^336-1,11327,3,
2^337-1,462043,18199,
2^338-1,22130,3,
2^339-1,37300,7,
2^340-1,16498,41,
2^341-1,6414,89,
2^342-1,11839,57,
2^343-1,84812,127,
2^344-1,16514,5,
2^345-1,17602,7,
2^346-1,11644,3,
2^348-1,7236,13,
2^350-1,17829,3,
2^351-1,39122,7,
2^352-1,17676,3,
2^353-1,17494357,931921,
2^354-1,23148,7,
2^355-1,29318,31,
2^356-1,6690,5,
2^357-1,29104,7,
2^358-1,20847,3,
2^359-1,183755,719,
2^360-1,21769,3,
2^361-1,6197039,524287,
2^362-1,22343,3,
2^363-1,12410,7,
2^364-1,11978,3,
2^365-1,12544,31,
2^366-1,12306,49,
2^367-1,1384258,12479,
2^368-1,27895,3,
2^369-1,29881,7,
2^370-1,27565,3,
2^371-1,34306,743,
2^372-1,22919,169,
2^373-1,18838834,25569151,
2^374-1,29668,3,
2^375-1,12942,7,
2^376-1,7044,17,
2^377-1,161435,233,
2^378-1,23320,19,
2^380-1,13556,3,
2^381-1,23589,7,
2^382-1,13465,3,
2^383-1,12319234,1440847,
2^384-1,17872,5,
2^385-1,50432,23,
2^386-1,24278,3,
2^387-1,13355,7,
2^388-1,13484,3,
2^389-1,49334901,56478911,
2^390-1,24896,21,
2^391-1,81827,47,
