(2*3)^2200,85654630118564651206210005795943843896868150025374136415858636001681274945670789529894211279991029353707455306758068230613197029683907042337272956855778261465461536960458835778558321499061458136596414020469382612940231908119762535543692656643976968996028053872186757465398455482441398203074128664898719982711618167519525469210209475978359006593010751248661008782371516231725367077036685938767689730620220020788071495316640830368074614281094773361178850952642263360096852953748070006682775593422004048549003608387254532633455561195889100913812508007003641168129972354308469821548542956021141811846486488902562540221635014930218750924176796483683443191783097881407447337324372352919351351399331862950025605640369562742318980075108649151895602269791172269213882422040751957243440490265133982808122435125574487543457561470923658188632463668532257519148624641701266246406353061340306503506144794127962565624089402139858010633069766520177083605226721559719140934147557183756202698438015856221284583092201536248978293262196799389641568697658690766216008724065355202159233921711817915682904799607300728770802689279255298266544351053915246962862739676495553628785178193608203227653899993013567892013758753531976552687249394347757025357987028895171566396430779525575697533736645317792879240227414854487581188102739753909375337530639268802026785373620226886476865806281314002693440195902781928099306441678596246202030387396236578285269175952913574687175118055197473787882889108609743826624733708105448771402863726799758994626644226926108446496533890292013094882024998655232335290666339304553599830464491026730868936146770449007322636926651207012141272012907478505061628213855966488431061778781116834474093694889446527205376,170313947,1949,418
(2*3)^2400,36559556670892780352412139706394350657811345841782414839333673375297605898507336701814764583136267127584893209759219151215411125808548987377432635688742995430010594565559541483983816221122990779316294418708716205193429879545245892585786420006725316846254212805206927365604694392343886625661734802039243592791272727333836130407214319997676315598017096840793310249003990849362116085352994963585926871239349613028049818460753980746004365629816497125491922739085431222237680516955354485308592582044063630092774169570749879478615700792106851550493499558261731558262999831931523557901295213207911952933493625973338746339429861306937824639393480786244181172427476857845721040579467356190450835508725298382898714194036079890875037939221772141471834559085068526352306245330535563226138301091782059701413180467753850342620625497087020557530527186061999306454132137118144520698004964122849830115007430863844850028807245977386873481750984835126537774761500944172000269427113039801657341024353633437449057784123102961443141381907304077355005367072356895611787973841336546859702574684278425497691332201101875110638117338412456103506984110433758931514233875183809838757837002121837230685882778254148217212341694236663988867318020152777646503837396207386485929764980243838295474185966639228354257121633089394482199205382732207826573941301687219454523523304001120393761996458059939098774508991175198697429249658068617441609157490235609840934848549610198310944902313134767713600750393624089989475653651632651835523463631719207130755541021062564667679615645308797156452135525707288828436265856356097583677384766893356994750642188431555639218390063223362620042905330401580453711319433385886221580146194453202301616657149430771994596207602948100711620789011233690209124814953086686123267697702449350029501223623025071718346970889152606221754123584572066472364263139263474262266339315941376,207103725,1804,661
(2*3)^2600,15604540958522310360763098938188470940695358858323138471303962816393277370791702132644006528157622446081919849920975325048378008746177194474439422628128584456348495842273284229833769626523571413497736638169529219652404027464333176361420579803428050659165903311815931108356593043589788246511170946758678522542006277396089257705435911250971990277363993359699393451133367429825637160661793164775800618232356504441934365549955175210777605931190130054209645972058738943351135127625516376825344317514730471226622778414163232998193359349295651780287791657643766562862519299936413865394609164800465851193306144269547314747681993036601581909315903573903028220391747545077600048272692962678679509838339359643786751886726238858964046779716565533324020682154597601039617153723186717145318377920742634533420684923058365963458267434851827951221801678451756209899687083064418879686062094671781254743651941658247935396956191078353304970858365842148515100765865709657855562261987960291150776210843155242853065620217553455935341365721411871429799402446633564679251248356668861531588810415452824452952008520208106132130126144279464094209565975884560017701104645906433446722312950534274983885278650038282226398825729870319462653968310079818306873029122613404047733693438759337133790534137330724011681404885250390657021405316059269175791358277304459639315276271620229200432478235984936111269966236058207131737679236420650076457738766278443490883863528682215130916145833221625679732985740323044931317707847543044783046480874534770451216212080436527642299280650955110415529795054530797800704668803350085220121042586979870792602803608153790677388680180601536732979390568655114128020387149069768463961367398481086197848653501029786776230115637012514766650991985760068011355879624385796466244599379700106257077765108313807798572990643874285535004538405180157210038715316818480149326428278243084307989399606641122697619046131235270879295757889325373568153347118108141146535406397422464461662765396431895004966568696246295279106191458726208893800677376,251775136,1610,608
(2*3)^2800,6660411687105233705386727016325458347400260617113826106395963614181419679207052991415553846880420572769965630940560365843149203980734751055162050933680116533470434886260181958557492910230931344235465214780449367068993416025993006094656710796730091061390368435907970718344604031168962674501064083280074735728340276859238849102027550081346187603227186480039159176550255879560028692077382977026382935465782767453347085879810463741594264710486426317975069758931618094290429613696342995890385933297703947838824452251097642664432236829987458981242164036421742898599365648010195860170302733372501006267430672882043207303737495763462227112754011550292789152070295429032037891047900608881593682762377298692744842037548669879752392717241737261014406652921003382615296476542636683140372162720171385846555707811069559877076724275750454083617783724087570236197292157595446447570963340083956934590655419848947850600508083249280565627857848757258730805125953982778491959743586600705754395027154803387781718070965748580977062874543379984174988218943401555861111881391946307055717779508881809156911262530961939083417347102867453761171508448760155961469998704552243133673490807623978975239274831098933861141290914089291579622085509024370284518834962168360783619014096907968425953734365725971129684399344654262476131475233696795519784045801808532825315173961756224113050660605641575028934998479619858233645855611612238233153147100668596961256094440598992101812348128978655710672481785491607471238403057766859271447200152252014134238382645078970868553426947798757065351994687528090276345778372003822751612065494925550588945009182409523412734673787726918107035039597517603647860397218390422516391625467453904396584145761287367077869802285142333258590074509983894961431107066488238382104616678582383481566207864497973609089985247591063284194471234286590914133388379524496267198635103005928111779831260813990515109232760846512319660999337772676462919858173454373738970626442989220098723385980938183923059032316059420795852723879385844594758290967560948555078210532697283537429783496104025205831696324315084601248687742548632587562730287997490975069497640855004026562374080988016966451717597365981413376,296488961,1448,461
(2*3)^3000,2842831709028934391286663393961854701023404694668457427661009251515699439378834648572053976872641863974744707844458058391727000059945972192318612038963760553953724043665796609014984195677219437682382855209171070828006697036915415844978164901134164247189231874706348827700975372524202035083600175372640554760459163391123233067971934989613212818192949948252988232237110781918777214109358373128700630750822373064144225304250658876871948834201800362954647575071538646850974328110889915947219293774295676662752282057628176808134167268078677625337598546273194089752061528794551960964443492388250038176827235355797197926152450745786286472952025766854268971930030515413330047906889608268403145388828528204439785152879371610595476971312680115099968710987075787455308310393339694040552449032651142534536596152889070994042868736648220412187351132419953382643593789841996494582375053952661081013633201193712728226838615115621008381462516832970864156771856895632064734036712104188011615439920823628996532111867070337707510121588909741401920459928260093955895633358893612510463465454457843803721355375871320172618592122277825584504091650724728232802696121024574135714641977740238840673932623622864045338091231879913940391508506938089029959351122449923452988653955554608648662112129783184026682486567679374478720186963890194404505699707832037872522618517140307363255145543009200492090250223261198290625861204985593963356504704861230031943516809960095715527209691156526543003171364771874407010722584945696156315724571738028788902691007078140972493107163321783922045465602131847267044881758795952239646831776352033787361558180616829276715987344284796044585380059621282759108047005371692757664064607724812578889070985374958638453456565085187191922052035644078965764818349859395332320416441429650215053482652393277319504134864212668082964347244789990128946790143475907200126136644723713103836721669459001321143558245374526558083486531251044460836124504798051097043568738287749557220051695390648001024394943643147100828553256565080631296482865650365198699381142975783750155003813476311063027293745694534686051204031913575665978866721882355544102637406585712009374924006119233030489660715840634940434343327478904895749887966796902961493108267259589610081566908328395906030401958776364523835125756200374666281226378248026827186581609711939527728011858149376,335203825,1579,533
(2*3)^3200,1213392280466203278599286971490262535189711188512086931446257509386725316226748882015979246249748842708748199171322798364320967723374364701987925651009575272406805337383201631867858336721253222591601092821522881907808264646708132355128731262686126355849344660329664061171509294198230539756359021976395866424089754892646406593291317565901367916572762866072748921410855335419754497916904880565118307262174894231665885258204311622514814903666684939153081044929318964024098183442527390361726735990531713564779260589016018612469825989382226831398988044310468001370883404456790530350360686277771279797040146181788158205780596663639814582655139099412402380830712356498973151935025956380939277132921860495473050335490594656471338921847880789946358175833158547594900420564295118882964869242635961410525992729667047302044876014936760582991024046873697975555776112422356400624933300215506328968573612605437358073288016111920863788179116100931662684563557530019013502473300398389033285398391359173375087201277947695769269678277167398925177016047441610448299948709627954862135117274093251748876576455114012101265635240223719634615365156506411398500479958263394867745242055461750855215600413920785860248336543909803477802767258861709786469326621058223108520092343996748841650496910188361566805401978861396626194224228730430107625897211606348579918387699484672187880655773455737339758175958762740808819948684741862585703237707419851885877417956143930149331316219598624617582059061309665514113410366738123702437017030812625150551826985853565620280082095359554490949318406527937908375218541797465141253038496585516976280989681482902224492891123362728796317027307736883537672458069979276923744966115569875783966039602745812279856465679820027042267403620152395265751832184282868874022391862640394362800808957828215987956333348287327811620289669655889062919890351237220245352652607140458197019941613191940389502020810745222785995258321404884450616383373786393429764436442843271428276534558923470622369373498699407308799378235078405083942393131481020600704298306914022124904201065444468041349763137940292776997729183929638392221301239856527561682349690825895757022595285635899325982335401117155101514383743417789115669572778111583015912681046825873436427171542316138925285489216705621205199411611950731877047342391378047981761246906133366328508723269919378007773535537293159105061881839273047316367309880028106590012161961812861007042225876779918373043902986240834326554776006108024833570403468284313087430885376,468574448,244668,772
(2*3)^3400,517906431681773538005556806534050419503138074500461966849836769089000792771039023206569282711081933367081779624286256328012822877458729121136266296076439605473715183806714778744872389600648393882341564066840573393117113204981721352784164627168094826801914936800126365704110982827393879163425909563735982412872680974302860242616173557544173724057331887650138440689266238178894391455074364710314346858930661235820811913179647466948352600491458766055869849758024462474793954639752808189422694797535937244201697235247576590600807367965927705176643670171834141133446243714325630979320600623910610331483042821657560528663543160772418015309849333941566031075045858407090748631290890935048926185281431325420720263625725267797155471440176635553821071987303134781879442560209173124661532839156634488717574134157512621016041728462281628652585707086695155712097978913914084791296354798308810411790995458262048123756297514927665867433497862691635916880852553754437653455533528641373253886754095330928076767334121772605799018189564316623626564890380643476974865974169180743264309183894221341384119737064048224605876236139037577392728983407866578871821079939533185321473173161365984114692790302359556382007596050483281999165492092431393589350797135025613254628254776742231020922978986836640149750979530770714688888088178185119201506647593827219988333914494736454765126160204250209311026261264119654312459346733772835226352007063514529183998804178071073707141270269077010892002658557211421558160226540934444712549658563824295671157350770585509468512716193419741909555341839744630009516562644570986871268817485461585401369384340054127679536296066263292680159093971860226739055266584178789559480680006847929852461255221345409533243954716776786860519244420522970214892490879939267908914813877583266529401019622798759525303326550660170591805073850015636266705492849326189297103813041368147169451953898868900463797991825652443635767082420843471857095183844688040926553570165888750286932957595381299382762372482674595972247769257445880887844013222177299791717978491558860814600532475645575565427115486551225256729137032856090233230240135785846780013530073608448143016445614295105073343589351733223148409966966953312194911399119898535275382298219246194735341810222049470870559677238785934502339778964951253881051735557645269032392005873191371780421522856092814894956507360124626026152769455606578765079182262292767935996386481435151331618724627174402526192082033613559663129238377919825274549585308377852420973252602631380883235523888805555250589650892532840136543155845321754473430963881850341966251871868716314309805824354698914958743441961519475158127480848699621376,505738073,257606,1213
(2*3)^3600,221055528616261468969307374849974071266474196651814357890652623543213019254858510288828242288798733830475603950744579757541271089705817072796637286342622222812966289070726491819184493316981859917206732198412467912807932328147934351934239692397636150017309768500918633039095198547672659415170528275286507219909621933702747205114909909883657971925272570166526235480758658383390536352828733356488771745652423624411583447790821527452495845192565336614877387786367199713912549192813883855613618257914196088556769982381609884506069635239142675911884831847999117453496940653170917298823345918841538396807597288970099435165062695019183162173979557536467299137757529251582063640865326698310732701982806270998041071719745382872951038322509212881789874634936120451173577676073073958866875411246556903281475692294133135830230084232716495669886737655225902045179201573077433874591778247883756095120138183690170831590250984591674392322460802712130392074224715460938431256703319123164221858415250747082683085632504800371016848058886445346810854433137852706846180231232652955858376811660729910530438140234866994131709134676584382292298278203331776089588662548190789567563053597044960145552218279055495092267287922030860655424998206261909868948703687225302475665322837619415681337857940405033956411201508677619948899190978498097897222149964602425532353964552551103857018921518470292325431970964024514754155801161549941104194499669908660199951045517037582983478239563807741872293868467909999277409650091804677190550492276096551148524006119415432562287202596138847198495837255488903883833365807366436722221957019899702171282592468557279025153558163853629459851019621311214993053399041641842180553390977426273829933344038994989006551272429496373547609601587841708838766095943526278906326170769593746962877088637206730766106360660028035329631969561589331093281005166816329804467501521124872231060404343810090834711151816382301503035236867453794099096912899522246342702325031862568300258358088928256723986086942730428760244994700604912361231432897070647810041334262880741896031903613303984973524884907679517267578840528532648842988199047239299715477444204559386847542374957380007875976559471371493750676279060777403363421386736455789140305196155962854224373218366916130992521935694571736256230919633196921049970863216355323137465360541092904445283416299218016913229608238271329328312268660488578846044945485401710297667775723117782419565554023676979030179684088724337039045641592634891478645547794145972640657787950817264189469455929203378273865690728937166653104975215139375671349830372586140920979475542655603016866473462114741547633461387699296873828939150483391802011649453025947632747105343509072226325038296695010281609894813012398557066549511422464191277674619208256927608297201970772218321024091753385775551664357376,519338234,163491,548
(2*3)^3800,94352075476521829253196304731782288607404520542915228901648885845986070821448740826819928169842106120962553721329648161009573722901662401516090582758151949867830621691987485981231973920356275242407781636775683076876787123418179957328277504043914763265789874579012019748833453184546089694004017435150092315726925707096698648161131044298981618859401794356238773468382605243179816540253822752967571996553995938657172478516698753786640304611638897737139378796027178969693174727171056413750985090886306495528224494881035502150471022156371344085102718114263122789076136739825317597301978417691421120954592844230032506916928253380405829071050508550224065338772458725540446466105542476254103513855873259811968879064098710992810548481917421468031509269665953049414049183287962783511257744655299305913042175754169344518175136912400347467452881108203726219106166477389088157631522833308513105941731859896513289521435595220881239795521336682186764204173826926294949904920764851465835362089671350246526232555658801555594105415285132358305266273853381270733393194446484251631931269201677572613824315466318782173910010372003398352144479956016210170592169660068511900488873156610853822736204527068252056091051445382476218193831629334699210827870051542796760735407648334914966439552548393942418105348688801775618298641909326782443631946659464783245661752343568793203284981160673352628582165084388481358655245549657493083872620206516356517322351745188364243833014408192711883425818017232871064279155830513824720152741335844176133752897617696599661484255899125685792771010360117545351672569491548794171878056290810091639405683620579387259632195698337568343776308719666356714464490034000132523747505791822687014969206417667261663438851579922825987326157551512105065699812499292339117647561981172751179284770860964771747626069601568005488727697678217913606209799688214817426451811033867192730670744134392593064269472813953079394961293067427298207537394116859502244957375527737072701964268725187302081880102562766028137300953724003559702616478147904481419277314751145380578458933099762716792460646049174851751822548036337706944488114097456710758268912520217225168397014115332822658531334885866101137425002327533438019378758301750332473162272234226987036468188126457102863586210983155461932050377927897411002499075050174472474295496645139689868240734595479215545466788369922587467729970664117003162823793931638579335035779587968641551292383866438487601719858574402318424641110096691251893436286116611125924852043039506368108547003039298780924282867182352040805992571369041115107622983842647038266577289521062392402352085359476811767249346954399763643743393522690573746287230585717580572073346972887082378029630417177466017225349048376937795988755671845118971659843369885719014549967825442023804431547685213609751333863687459265646623775847160954057364703049319964456288786513502126780807210852852849445686566790602378579615809165007530605500650122166032222582208752157452325093376,589146848,199292,661
(2*3)^4000,40271845732395731644363453399108003820712007211504893431729782348602715736667262541464126313023270449563635575651754511521595987468006838593891927659591229736690787384535454850896094573141105973724604328005321528216137185011682665285521361200799888890458591800915641008844275533403439632110849780283204522456085651753080676061512839697510142000029079716932216569281786632134024029060687840509581968040318563212939461270004370666850422423812296112247923245908565220646713343197470817340259776908506052042617500433400649743067263058430161448119176983670786539824119115049759258089061423011232094677063166791391136428334767643267749085098220992523941272455153715493140298611062232970381573385549191338143363064069323842512911883381792028427419667973516326294170363552636798370027194772908858805641229731811864204023948457807517834069129262008726272139035623197637262645707698609558157634735874133690133237948305242740335472022811091301831852478504577668913680977546676572201706303179904496393188919543409248906629146890000683835279403101793219189162760317255057618786257532145267862540646953711801105093181781423897625053417964447025341808480315968911166012852487313021855079038771678781159893782351766563326340728688721092497727531649670982374324841557954151185982228931022965814019736247341344701345455159695210420447443799918492920109214384981597571788379215030905429007167268124752320937203324415489760075424919213559733365109393045635289589390306930730903062761569541144784897449524366490025810944013988700386612394054555476294982747628984996733361546128035502370443268423232101300578040916573407473426681653288975331931120588317012357169143303866408993409443258128312946876787974434154258019076031270372050253651911429901266565707226297609306578271564331178507239283338475731335036183471325872658959403396951521525388410054086618333320393003599344154348854172001271635767186285265782032445322158598630807247756231903298500375639369017826817240757928954074165581011075892622409176870951498480379909566052741031890637518123038485463841766518103256386203535464148417445081739122044356994349150407790734046034216285743909799859125275448920753298142825863212622770352784255341730429638395410094585174125938179660781444393197844271968749450540322649842570495556420857738150918575209611698228258827376742971467686260545589924773027322096239847240611365943514657997821817818995208529452387877885043632748051761990392614991023311548275931727879743347244252879729828287536328083546013822771266200396067224180597657054309207926713774514390879131799863028632863845354064278400522534594099118613239695971409390713507649231769507368643030354587143063147668423023366611810201257490048912430992277160687585989246305234654546076474225838051753360995365323018570814605369020531706416378697151632071234679181234459613706827231079391776051609658022076033810266224891951296564320042681721189746330577542964269194065973733015802678697887640325884796048103278303791476894323005135407090836409555068850465406057949614111727990188803530060037596162375147115658637008302497096892618629733068748180551988814772703530811460002806681829376,665381318,187987,689
